Row Labels,Average of budget
1980,15903896.1
1981,13716250
1982,15266701.03
1983,13408415.84
1984,15283408
1985,15935579.71
1986,15899579.7
1987,15622300
1988,15355066.67
1989,17108384.15
1990,19446072.37
1991,20671127.52
1992,20528362.64
1993,19607741.93
1994,25056006.62
1995,24477621.63
1996,27779451.22
1997,33672302.63
1998,35945241.38
1999,40896524.82
2000,42181111.11
2001,38760714.29
2002,37797794.12
2003,43431739.13
2004,46581885.5
2005,39116240.88
2006,42686594.2
2007,42856928.1
2008,44414583.33
2009,45589160.84
2010,48844791.67
2011,51140444.44
2012,44202745.1
2013,51869928.06
2014,44920921.99
2015,47415625
2016,55584615.38
2017,49831923.08
2018,46892333.33
2019,52010714.29
2020,52342133.33
